ID,TEMA,DATA,STATUS,DESCRICAO,URL,CASOS,CIDADE,UF,TIPO_ORIGEM,TIPO_SERVICO,PROBLEMA
149490335,TEMPO DE ATENDIMENTO,2022-01-09,Não respondida,ACABAR SAIR URGÊNCIA CAUSA ATENDIMENTO PÉSSIMO VERDADE ATENDIMENTO NÃO EXISTIR DESISTIMINHAR 1 URGÊNCIA GENTE 3 HORA ESPERAR ATENDER SER MORRER TAR MORTO NEM UPA NUNCA ESPERAR ATENDER RECEBER MEDICAÇÃO PLANO FICAR PESSIMO QUALIDADE IR PROCURAR CANCELAR RUIM EMERGÊNCIA RUIM MARCAR CONSULTA DE EUS LIVRE SORTE ATENDER 50 MÉDICO NÃO TÁ FAZER REVOLTANTE,https://www.reclameaqui.com.br//hapvida-saude/tempo-de-atendimento_2DN8tp8TtRnA6MpZ/,66,RECIFE,PE,PLANO DE SAÚDE,AUTORIZAÇÃO,DEMORA NA EXECUÇÃO
149499817,HAPVIDA NÃO TEM NUTRÓLOGO,2022-01-09,Não respondida,HAPVIDA FORNECER SERVIÇO NUTRÓLOGO IR MARCAR APP ANDAR ATUALIZAÇÃO TELEFONE CLÍNICA PRESTAR SERVIÇO NÃO ATENDER NUTRÓLOGO NÃO SERVIÇO PRA COLOCAR AFFF,https://www.reclameaqui.com.br//hapvida-saude/hapvida-nao-tem-nutrologo_E3k6gyU9Q-rhRaP6/,66,SALVADOR,BA,PLANO DE SAÚDE,OUTROS,QUALIDADE DO SERVIÇO PRESTADO
149498293,DESCASO DE TRATAMENTO DE HEMODIÁLISE,2022-01-09,Respondida,IRMÃO WAGNER SANTIAGO INTERNADO DEVIDO HAVER COMPLICAÇÃO RENAL DIABÉTE NECESSITAR HEMODIÁLISE 3 SEMANA ENTRADA HJ COMEÇAR PROCEDIMENTO ATENDIMENTO HAPVER RUA BARÃO ITAMARACÁ PEDIR ESPERAR RESPOSTA PERÍODO 10 DIA INADMISSÍVEL NÃO FICAR SECÇÃO ÚLTIMO FAZER TERÇA FEIRA INTERNAR AMANHÃ 02092022 IRMÃO FICAR HEMODIÁLISE DURANTE 10 DIA PRECISO URGENTE AJUDAR CASO DE ELE SÉRIO,https://www.reclameaqui.com.br//hapvida-saude/descaso-de-tratamento-de-hemodialise_q3aAqJM4xaUOifnc/,66,OLINDA,PE,PLANO DE SAÚDE,ATENDIMENTO,"DEMORA PARA AUTORIZAÇÃO DE CONSULTAS, EXAMES E CIRURGIAS, REDE DE ATENDIMENTO"
149495455,DESORGANIZAÇÃO E FALTA DE RESOLUÇÃO DE PROBLEMA,2022-01-09,Não respondida,AGENDEI CHAT PROCEDIMENTO CLARO EXPLIQUEI DETALHADAMENTE ORIENTAÇÃO MÉDICO SOLICITANTE PROCEDIMENTO CHEGAR HOJE DATA HORÁRIO MARCAR ATENDENTE INFORMAR NÃO MARCADO TER REMARCAR NOVAMENTE PRA DIA 2610 QUASE 60 DIA VER PAGAR QUASE 100000 PLANO PRECISO SIMPLES PROCEDIMENTO ERRO INFORMAÇÃO ORIENTAÇÃO CORRETO ESPERAR 60 DIA PRAZO VENHO AGUARDAR PRA PROCEDIMENTO MEDICO SOLICITANTE SIMPLESOUTRO PROBLEMA HAVER ALGUM AUMENTO SIGNIFICATIVO ASTIGMATISMO 4 GRAU ASTIGMATISMO 075 MIOPIA OLHO SOLICITAR DR CIRURGIA REFRATIVO INFORMAR PLANO NÃO COBRIR DEVIDO NÃO QUASE NADA MIOPIA SER ESPERAR CONSULTA AUMENTAR GRAUCOMO PAGAR PLANO ANO ALTO PLANO NÃO COBRIR CIRURGIA REFRATIVATOTALMENTE DECEPCIONAR HAPVIDA NÃO INDICO PRA NINGUÉM,https://www.reclameaqui.com.br//hapvida-saude/desorganizacao-e-falta-de-resolucao-de-problema_hIE2j7PVpDtDYB_Y/,66,GOIÂNIA,GO,PLANO DE SAÚDE,AUTORIZAÇÃO,DEMORA NA EXECUÇÃO
149495285,LIBERAÇÃO DE PROCEDIMENTO,2022-01-09,Respondida,PAGUEI FATURA PLANO ATRASO ATRASO DEVIDO IMENSO BUROCRACIA MUDANÇA DIA VENCIMENTO NECESSITO LIBERAÇÃO AUTORIZAR REALIZAR CONSULTA FILHO AUTISTA NECESSITAR TERAPIA OCUPACIONAL CONSULTA PLANO PEDIR PRA AGUARDAR 72H APO PAGAMENTO DIFÍCIL,https://www.reclameaqui.com.br//hapvida-saude/liberacao-de-procedimento_VC35XyUcYRrzoOKK/,66,FORTALEZA,CE,PLANO DE SAÚDE,AGENDAMENTO,DIFICULDADE PARA AGENDAMENTO DE EXAMES-CONSULTAS
149494731,FALTA DE ESTRUTURA,2022-01-09,Respondida,ESPOSO TER ENDOSCOPIA MARCAR HOJE 010922 740H SEDE LUCAIA ACOMPANHANTE SEDAR PRA EFETUAR PROCEDIMENTO NÃO PERMITIR ESTACIONAR ESTABELECIMENTO CLINICA POSSUIR VAGA SEGURANÇA IDOSO MEDICO PERGUNTAR COLOCAR CLINICA PRA PROCEDIMENTO VIA NÃO POSSUIR ESTACIONAMENTO OUTRO IR SAIR HOMEM SEDAR VIA TER COLOCAR CARRO ACHAR EMPATIA RESPEITO ASSOCIADO DAR VOLTA QUARTEIRÃO PROCURAR ALGUM ESTACIONAR NÃO ENCONTRAR SER MARIDO NÃO EXAME PROBLEMA CONTINUAR EMPRESA NÃO NEM AI INTERESSAR PAGAMENTO ESTAR FAZER,https://www.reclameaqui.com.br//hapvida-saude/falta-de-estrutura_Qtj4YQVeyfzC43Sd/,66,SALVADOR,BA,HAPVIDA SAÚDE,ESTRUTURA / REDE,"BANHEIRO, PROBLEMAS DE INFRAESTRUTURA"
149493275,"HAPVIDA COBRANDO COPARTICIPAÇÃO DE PRÉ NATAL, NÃO CUMPRE COM DETERMINAÇÃO DA ANS.",2022-01-09,Não respondida,IR PASSAR GESTAÇÃO PRATICAMENTE RECEBER SALÁRIO HAPVER COBRAR COPARTICIPAÇÃO ABSURDO CONSULTA EXAME PRÉ NATAL ACORDO ANS PROIBIR COBRANÇA CONSULTA EXAME PRÉ NATAL VIR DESCONTAR 30000 COPARTICIPAÇÃO FALAR EMPRESA NÃO IR PAGAR INFORMAR TER FALAR DIRETO HAPVIDA LIGO NINGUÉM INFORMAÇÃO IRAR PROCURAR DEFENSOR PÚBLICO PRA PEDIR RESSARCIMENTO VINHER COBRAR COPARTICIPAÇÃO DURANTE GESTAÇÃO COMENTAR EDITADO RECLAME IR DIREITO PRA TÁ PAGAR ABSURDO COPARTICIPAÇÃO BOM ACOMPANHAMENTO SUS DISPONIBILIZAR PLANO SAÚDE DESCONTO ALTÍSSIMO PRA NÃO,https://www.reclameaqui.com.br//hapvida-saude/hapvida-cobrando-coparticipacao-de-pre-natal-nao-cumpre-com-determinacao-d_VyndT_hYaVsvRIm0/,66,SÃO PAULO,SP,PLANO DE SAÚDE,FINANCEIRO,COBRANÇA INDEVIDA
149500357,REVOLTADA,2022-01-09,Resolvido,FIQUEI 1 AGUARDAR CONSULTA FILHA 1 ANO 11 FONOTERAPIAQUE AGENDADO 02092022 ENTRAR CONTATO CANCELAR ATENDIMENTONÃO REMARCAR TENTAR REMARCARINFORMAR VAGA NOVEMBROISSO ABSURDO INFORMAR NÃO QUISER VAGA TER FICAR ENTRAR CONTATO DIA ENCONTRO VAGA RESPEITO SEGURADO PLANO,https://www.reclameaqui.com.br//hapvida-saude/revoltada_LJJMhkI8otc6HfBT/,66,SALVADOR,BA,PLANO DE SAÚDE,OUTROS,QUALIDADE DO SERVIÇO PRESTADO
149491487,AUMENTO DO PLANO!,2022-01-09,Não respondida,SITE VÁRIAS PROMOÇÃO CLIENTE CONTRATO PLANO SAÚDE MÃE CLIENTE ANTIGO PAGAR DATA VENCIMENTO NÃO NENHUM PROMOÇÃO REDUÇÃO GOSTARIO ALGUM DESCONTO CLIENTE ANTIGO PAGAR DIFICULDADE FINANCEIRO PASSAR BRASIL PASSAR GOSTAR ACESSO INFORMAÇÃO CONTRATO DE ELA AJUSTE FATO CORRETO,https://www.reclameaqui.com.br//hapvida-saude/aumento-do-plano_l0Iz1G8WGWQIv6s9/,66,SALVADOR,BA,PLANO DE SAÚDE,FINANCEIRO,REAJUSTE ABUSIVO
149484689,ATRASO NA ENTREGA DO EXAME,2022-01-09,Respondida,RESIDIR CIDADE FEIRA SANTANA ESPOSO AMILTON TER PROCEDIMENTO CIRÚRGICO SALVADOR VIAJAR DIA 1708 PRA CONSULTA PROFISSIONAL PEDIR EXAME RETORNAR DIA 0809 PRA MOSTRAR RESULTADO CONSULTAR ANESTESISTA EXAME SANGUE DIA SEGUINTE 1808 PREVISÃO ENTREGA PRA DIA 0509 DIA 2508 CURIOSIDADE ACESSAR SITE PRA RESULTADO PRONTO FICAR SABER TER RETORNAR PRA COLETA SER NINGUÉM CONTATO NINGUÉM MANDAR EMAIL NADA DIA SEGUINTE 2608 COLETA DIZER PRAZO 0509 HOJE SURPRESA ACESSAR SITE NOVAMENTE CONSTAR INFORMAÇÃO NECESSIDADE COLETA ESPOSO LA COMPLETAMENTE ESTRESSAR SAIR TRABALHO DESLOCAR CENTRO CIDADE CHEGAR FALAR SETOR RESPONSÁVEL INFORMAR PRA RESULTADO FICAR PRONTO DIA 1609 ABSURDO INACEITÁVEL DEPOISSÓ RETORNO MÉDICO CONSULTA ANESTESISTA MARCADO 0809 SALVADOR 112 KM DISTÂNCIA MORAMO PEÇO PROVIDÊNCIO AGILIDADER ENTREGA ÚNICO COLETA REFEITAR DIA 2608 EXAME PRONTO AGUARDO RETORNO,https://www.reclameaqui.com.br//hapvida-saude/atraso-na-entrega-do-exame_wLRkjfK8YqU4cJAV/,66,SALVADOR,BA,HAPVIDA SAÚDE,EXAMES / PROCEDIMENTOS,"EXAMES LAB E IMAGENS, ATRASO NA ENTREGA DOS RESULTADOS"
